hex50_id,area,year,week_bin,num_observations_flowering,uniqueFloweringSpecies,num_observations_total,uniqueObsSpecies,obsFlowerRatioCheck,log_area,resid,fitted,superBloomCandidate
675,2165063509.46109,2023,6,33,29,54,47,TRUE,21.4957155330566,2.19792298953285,14.9589761070065,TRUE
679,2165063509.46109,2016,2,2,1,8,6,TRUE,21.4957155330566,3.05448304151725,0.29247106929443,TRUE
681,2165063509.46109,2023,16,308,103,561,162,TRUE,21.4957155330566,2.14624390273792,149.993494625308,TRUE
706,2165063509.46109,2019,8,6,1,7,2,TRUE,21.4957155330566,3.28363085831194,1.44110642256965,TRUE
706,2165063509.46109,2022,22,2,2,2,2,TRUE,21.4957155330566,2.08684139646327,0.478210738359677,TRUE
707,2165063509.46109,2018,3,1,1,1,1,TRUE,21.4957155330566,3.32084016331569,0.0760549505744857,TRUE
709,2165063509.46109,2014,20,1,1,1,1,TRUE,21.4957155330566,2.09339636627132,0.156581299076402,TRUE
710,2165063509.46109,2023,22,1,1,1,1,TRUE,21.4957155330566,2.02982232372648,0.163546425995979,TRUE
734,1415283294.68244,2022,1,25,11,26,12,TRUE,21.0705955569653,3.86880972454911,7.4685710511516,TRUE
736,2165063509.46109,2019,13,15,15,24,21,TRUE,21.4957155330566,2.10229624657831,6.49377386651186,TRUE
738,2165063509.4611,2018,1,1,1,1,1,TRUE,21.4957155330566,2.6516757794013,0.109860332842926,TRUE
740,2165063509.4611,2022,17,169,71,245,99,TRUE,21.4957155330566,2.08206914976149,83.1186278000835,TRUE
740,2165063509.4611,2020,18,126,73,151,82,TRUE,21.4957155330566,2.08207956585978,61.7052582572987,TRUE
740,2165063509.4611,2023,22,150,89,249,134,TRUE,21.4957155330566,2.19141753418304,71.7112934828844,TRUE
740,2165063509.4611,2020,20,98,73,127,99,TRUE,21.4957155330566,2.03359817398153,48.3531477546559,TRUE
740,2165063509.4611,2020,21,61,49,62,52,TRUE,21.4957155330566,2.50263050964025,26.4609376229741,TRUE
740,2165063509.4611,2023,19,184,72,253,104,TRUE,21.4957155330566,2.20677285452175,87.8838673274581,TRUE
740,2165063509.4611,2023,20,241,100,388,129,TRUE,21.4957155330566,2.26516674944353,113.858408721445,TRUE
740,2165063509.4611,2023,21,144,66,218,96,TRUE,21.4957155330566,2.16580933764194,69.2291209144082,TRUE
740,2165063509.4611,2017,15,98,64,131,92,TRUE,21.4957155330566,2.00440025628667,48.7148086550079,TRUE
740,2165063509.4611,2018,22,30,24,31,25,TRUE,21.4957155330566,2.33898561582593,13.0179663760422,TRUE
766,2165063509.46111,2020,11,87,52,134,73,TRUE,21.4957155330566,2.61323935887417,37.2549135794981,TRUE
767,2165063509.46111,2023,1,25,13,33,20,TRUE,21.4957155330566,6.05190033754045,5.01473476752197,TRUE
769,2165063509.46111,2020,13,15,13,16,14,TRUE,21.4957155330566,3.15816779776357,4.84419629228051,TRUE
770,2165063509.46111,2017,18,20,16,23,18,TRUE,21.4957155330566,2.12009433533913,8.89580853448245,TRUE
770,2165063509.46111,2017,17,30,26,32,28,TRUE,21.4957155330566,2.71269895355125,11.8520725938327,TRUE
795,2165063509.4611,2020,4,10,10,15,14,TRUE,21.4957155330566,2.04727667482632,4.14666488419294,TRUE
798,2165063509.4611,2019,6,8,8,8,8,TRUE,21.4957155330566,2.36780952488932,2.84473818792626,TRUE
799,2165063509.4611,2016,8,18,16,19,17,TRUE,21.4957155330566,2.43044247307497,7.25016371406134,TRUE
799,2165063509.4611,2020,10,36,28,40,31,TRUE,21.4957155330566,2.19392058666894,16.4244572306095,TRUE
799,2165063509.4611,2020,14,73,49,78,53,TRUE,21.4957155330566,2.50434138513069,31.8681132534894,TRUE
799,2165063509.4611,2017,12,44,32,63,42,TRUE,21.4957155330566,2.06672712781252,20.9791210429864,TRUE
800,2165063509.4611,2020,13,78,41,99,54,TRUE,21.4957155330566,2.17192011250637,36.9630398312724,TRUE
800,2165063509.4611,2020,14,236,59,319,93,TRUE,21.4957155330566,3.24507350112662,90.5197227185657,TRUE
824,1510783027.82468,2022,1,14,8,18,12,TRUE,21.1358939155019,2.76434683568949,4.95501505636004,TRUE
826,2165063509.4611,2020,5,22,21,27,25,TRUE,21.4957155330566,2.08488229507034,9.97362611187364,TRUE
828,2165063509.4611,2017,11,69,29,79,35,TRUE,21.4957155330566,3.00166632384698,26.9138748343892,TRUE
828,2165063509.4611,2017,10,27,21,28,22,TRUE,21.4957155330566,2.33371317663508,11.6352866548976,TRUE
828,2165063509.4611,2019,6,82,40,135,60,TRUE,21.4957155330566,2.58499881979693,35.2742852602284,TRUE
829,2165063509.4611,2020,7,44,22,44,22,TRUE,21.4957155330566,3.41403271197609,15.3409199316675,TRUE
830,2165063509.4611,2016,7,23,20,27,23,TRUE,21.4957155330566,2.32561540580017,9.79233683437379,TRUE
830,2165063509.4611,2020,8,48,31,55,36,TRUE,21.4957155330566,2.56681451423532,20.2804894783804,TRUE
830,2165063509.4611,2020,14,171,85,216,108,TRUE,21.4957155330566,2.42543606337478,77.5244395570436,TRUE
830,2165063509.4611,2023,15,114,58,130,65,TRUE,21.4957155330566,2.19207072064992,54.2369962437392,TRUE
854,2165063509.4611,2019,7,34,20,56,28,TRUE,21.4957155330566,2.08443005604361,15.9169278011845,TRUE
854,2165063509.4611,2013,8,56,39,94,66,TRUE,21.4957155330566,2.61709495630438,23.5631064058741,TRUE
856,2165063509.46109,2019,6,35,21,50,29,TRUE,21.4957155330566,2.29470269513436,15.5279098998913,TRUE
859,2165063509.4611,2017,17,29,21,41,29,TRUE,21.4957155330566,2.03566530072845,13.6206615863701,TRUE
860,2165063509.4611,2023,17,83,53,106,69,TRUE,21.4957155330566,2.05985535546502,40.5247653321283,TRUE
860,2165063509.4611,2023,16,168,65,209,84,TRUE,21.4957155330566,2.86808014255184,69.1266796810375,TRUE
860,2165063509.4611,2017,12,34,33,40,39,TRUE,21.4957155330566,2.2389548218805,15.2759933716724,TRUE
886,2165063509.4611,2019,7,12,8,14,10,TRUE,21.4957155330566,2.00177513698939,5.20083353848588,TRUE
888,2051215026.97883,2022,15,151,16,417,34,TRUE,21.4416981510965,2.10147774201172,73.7995862439856,TRUE
889,1355021209.06675,2023,20,33,25,46,36,TRUE,21.0270829443414,2.07052471228256,15.4792914515834,TRUE
889,1355021209.06675,2023,19,51,33,73,44,TRUE,21.0270829443414,2.26343247205153,23.2693787656635,TRUE
891,2006400938.71704,2021,18,28,17,31,18,TRUE,21.4196083767625,2.04140184443901,13.098343332866,TRUE
914,2165063509.4611,2019,9,53,33,67,52,TRUE,21.4957155330566,2.1319435949427,25.0435866817949,TRUE
914,2165063509.4611,2019,2,15,14,24,22,TRUE,21.4957155330566,2.09558673607703,6.50703794601753,TRUE
921,2165063509.4611,2023,20,39,31,52,41,TRUE,21.4957155330566,2.23258324236658,17.6964596881112,TRUE
943,2165063509.4611,2015,9,65,43,83,54,TRUE,21.4957155330566,2.16126535616423,30.7132980070738,TRUE
947,2165063509.4611,2023,12,95,35,115,50,TRUE,21.4957155330566,2.02675749001415,46.923653958676,TRUE
